t,mx,my,mz,E_total,Q,cx_nm,cy_nm
4.827e-10,0.00474656463358,-0.0352403578541,0.0066617570965,2.35381086171e-18,0.437032401733,-97.5,97.5
4.927e-10,0.00494327414641,-0.0353861852978,0.00574200054858,2.35298099642e-18,0.437212228841,-97.5,97.5
5.027e-10,0.00493428806631,-0.0360190604108,0.00483847727091,2.35222893639e-18,0.436001966932,-97.5,97.5
5.127e-10,0.00472208070747,-0.0371013894276,0.00419161171763,2.35170262015e-18,0.434174796006,-97.5,97.5
5.227e-10,0.00436339931327,-0.0385301978545,0.00401058330739,2.351440735e-18,0.431948529638,97.5,97.5
5.327e-10,0.00396930374147,-0.0401716425953,0.00439535122256,2.35134060607e-18,0.429201794451,-52.5,97.5
5.427e-10,0.00369048274621,-0.0418888095696,0.00530735853386,2.35131961599e-18,0.426072947467,-47.5,97.5
5.527e-10,0.00368708601668,-0.0435396551747,0.00659584431605,2.35140775283e-18,0.423212529811,-2.5,97.5
5.627e-10,0.00408972990435,-0.0449755236306,0.00804939860446,2.35163161923e-18,0.421494828548,-7.5,97.5
5.727e-10,0.00496583198564,-0.0460670429074,0.00944007206775,2.35193939035e-18,0.421496099271,52.5,97.5
5.827e-10,0.00629915928737,-0.0467335418932,0.0105530983306,2.35227474715e-18,0.423118436242,52.5,97.5
5.927e-10,0.00798271283856,-0.0469539117423,0.0112073865276,2.35261234916e-18,0.425646089982,47.5,97.5
6.027e-10,0.0098283362324,-0.0467711533701,0.0112724333464,2.35290498597e-18,0.428212527482,27.5,97.5
6.127e-10,0.0115976316966,-0.0462952987973,0.0106937485646,2.35308178976e-18,0.430235937102,-97.5,97.5
6.227e-10,0.0130497408193,-0.0456886741948,0.00952861467525,2.35310482004e-18,0.431496561574,-97.5,97.5
6.327e-10,0.0139938054257,-0.045134024034,0.00796492507107,2.35297188716e-18,0.4319787912,-97.5,97.5
6.427e-10,0.0143332499254,-0.0448023107176,0.00629239522461,2.35268940971e-18,0.431765359812,-97.5,97.5
6.527e-10,0.0140899343403,-0.0448226434296,0.00482954428342,2.35229692712e-18,0.431063810413,-97.5,97.5
6.627e-10,0.0133998073542,-0.0452528207279,0.00384132273024,2.35188499523e-18,0.430200527276,-97.5,97.5
6.727e-10,0.0124819763727,-0.0460664103421,0.00348220164383,2.3515440872e-18,0.429498048256,-97.5,97.5
6.827e-10,0.0115929674183,-0.0471677876923,0.00377779798075,2.3513246487e-18,0.429148997869,-97.5,97.5
6.927e-10,0.0109785245769,-0.0484198624975,0.00463812691689,2.351262367e-18,0.429146759772,97.5,97.5
7.027e-10,0.0108305168548,-0.0496683161335,0.00588847563417,2.35138708961e-18,0.429300584765,22.5,97.5
7.127e-10,0.011253875727,-0.0507681084772,0.00730591936871,2.3516799429e-18,0.429376487944,47.5,97.5
7.227e-10,0.0122481186317,-0.0516161183181,0.00865429862629,2.35206239263e-18,0.429259047339,57.5,97.5
7.327e-10,0.0137086534885,-0.052174101758,0.00971615031858,2.35244661213e-18,0.428988561173,-17.5,97.5
7.427e-10,0.0154514945335,-0.052468816308,0.0103243255665,2.352774373e-18,0.428676411113,-17.5,97.5
7.527e-10,0.0172564772145,-0.0525751954888,0.0103926397582,2.35301402891e-18,0.428397390298,97.5,97.5
7.627e-10,0.0189146180249,-0.0525930166926,0.00993558509841,2.35315534601e-18,0.428149256697,97.5,97.5
7.727e-10,0.0202656080128,-0.0526213718416,0.00906564612073,2.35321106937e-18,0.427910800022,97.5,97.5
7.827e-10,0.0212193195105,-0.0527360053539,0.00796705693106,2.35320539423e-18,0.427733240594,97.5,97.5
7.927e-10,0.0217613352003,-0.0529761058718,0.00685449599412,2.35316379224e-18,0.427755470883,97.5,97.5
8.027e-10,0.0219446677218,-0.0533415483228,0.00592694381516,2.35312027804e-18,0.42811278975,57.5,97.5
8.127e-10,0.0218713036332,-0.0537983435166,0.00532627206119,2.35311670907e-18,0.428823298301,-97.5,97.5
8.227e-10,0.0216685001989,-0.0542926605498,0.00511135837803,2.35317829039e-18,0.429753586131,-97.5,97.5
