t_ns,mx,my,mz
5.600000000000000533e-01,9.956571724802829593e-01,-4.061762317588089866e-02,6.124856787891502612e-03
5.650000000000000577e-01,9.957000140133263066e-01,-4.009723786816948854e-02,6.051009017487314103e-03
5.699999999999999512e-01,9.957415001571767732e-01,-3.958678951428757503e-02,5.978561779763767736e-03
5.749999999999999556e-01,9.957816541991477699e-01,-3.908601413452349876e-02,5.907418324469582496e-03
5.800000000000000711e-01,9.958205125558269311e-01,-3.859464012149215612e-02,5.837447833743367696e-03
5.850000000000000755e-01,9.958581182265178189e-01,-3.811236191804541484e-02,5.768555269201899351e-03
5.900000000000000799e-01,9.958945206025543451e-01,-3.763885576006060357e-02,5.700706146979327843e-03
5.949999999999999734e-01,9.959297765122117063e-01,-3.717378689989210561e-02,5.633891798477491837e-03
5.999999999999999778e-01,9.959639406693631125e-01,-3.671683528953668951e-02,5.568063988122634762e-03
6.049999999999999822e-01,9.959970619420620563e-01,-3.626771443157197905e-02,5.503160610028327328e-03
6.100000000000000977e-01,9.960291849380120688e-01,-3.582616215448228975e-02,5.439149143347310478e-03
6.150000000000001021e-01,9.960603515531509800e-01,-3.539194726007018066e-02,5.376036345917671079e-03
6.199999999999999956e-01,9.960906058507977834e-01,-3.496487188857946155e-02,5.313846610157241246e-03
6.250000000000000000e-01,9.961199941729558249e-01,-3.454476371857626710e-02,5.252598367032476276e-03
6.300000000000000044e-01,9.961485603032832481e-01,-3.413146095561702537e-02,5.192291210577626437e-03
6.350000000000000089e-01,9.961763427279501926e-01,-3.372481059787984375e-02,5.132897508095742543e-03
6.400000000000000133e-01,9.962033737021792623e-01,-3.332466798409677855e-02,5.074383023521993399e-03
6.450000000000000178e-01,9.962296805900550112e-01,-3.293089131569854749e-02,5.016724851848159035e-03
6.500000000000000222e-01,9.962552879512702741e-01,-3.254334023149445254e-02,4.959910223069905096e-03
6.550000000000000266e-01,9.962802182285861452e-01,-3.216187272580629114e-02,4.903925733252201095e-03
6.600000000000000311e-01,9.963044921791807118e-01,-3.178634554787510696e-02,4.848751958228115014e-03
6.649999999999999245e-01,9.963281301553399416e-01,-3.141661532975088822e-02,4.794365683758869921e-03
6.700000000000000400e-01,9.963511515717451417e-01,-3.105254130193226686e-02,4.740741118066056636e-03
6.750000000000000444e-01,9.963735742946978613e-01,-3.069398814719581300e-02,4.687855763419132918e-03
6.800000000000000488e-01,9.963954151610699972e-01,-3.034082537726981443e-02,4.635692999453270430e-03
6.850000000000000533e-01,9.964166903215070370e-01,-2.999292567430638171e-02,4.584239749387986063e-03
6.899999999999999467e-01,9.964374157440890611e-01,-2.965016439137176107e-02,4.533482662569253072e-03
6.949999999999999512e-01,9.964576072188122691e-01,-2.931242152271662516e-02,4.483407093491076009e-03
7.000000000000000666e-01,9.964772800281110898e-01,-2.897958195363578571e-02,4.433998987721517182e-03
7.050000000000000711e-01,9.964964491732266616e-01,-2.865153489156079328e-02,4.385245534320222037e-03
7.100000000000000755e-01,9.965151295788940988e-01,-2.832817454239369703e-02,4.337136133037036365e-03
7.149999999999999689e-01,9.965333360938762874e-01,-2.800940002219754962e-02,4.289661911194193183e-03
7.199999999999999734e-01,9.965510834549301533e-01,-2.769511480006519796e-02,4.242813970095149836e-03
7.249999999999999778e-01,9.965683860768070890e-01,-2.738522606485376334e-02,4.196581621925769140e-03
7.300000000000000933e-01,9.965852577910279120e-01,-2.707964405372753625e-02,4.150952293064378608e-03
7.350000000000000977e-01,9.966017118399086439e-01,-2.677828112991335191e-02,4.105913138823937686e-03
7.399999999999999911e-01,9.966177608862777371e-01,-2.648105154841092976e-02,4.061451986476181768e-03
7.449999999999999956e-01,9.966334170113886337e-01,-2.618787176340975700e-02,4.017557737680222188e-03
7.500000000000000000e-01,9.966486918241166393e-01,-2.589866062807988367e-02,3.974220253233848484e-03
7.550000000000000044e-01,9.966635965357331095e-01,-2.561333945172839313e-02,3.931429935442915143e-03
7.600000000000000089e-01,9.966781419661717711e-01,-2.533183186391791547e-02,3.889177374767259932e-03
7.650000000000000133e-01,9.966923385122185008e-01,-2.505406384416505525e-02,3.847453413070945748e-03
7.700000000000000178e-01,9.967061960914176399e-01,-2.477996393439725609e-02,3.806249530173046354e-03
7.750000000000000222e-01,9.967197241724952139e-01,-2.450946332807717176e-02,3.765557762806996927e-03
7.800000000000000266e-01,9.967329318455574461e-01,-2.424249567157569021e-02,3.725370364862460107e-03
7.850000000000000311e-01,9.967458278484971901e-01,-2.397899672924810183e-02,3.685679473109642473e-03
7.900000000000000355e-01,9.967584205899052696e-01,-2.371890405236285956e-02,3.646476945183020884e-03
7.950000000000000400e-01,9.967707181840423925e-01,-2.346215666989193149e-02,3.607754408711881956e-03
8.000000000000000444e-01,9.967827284712545977e-01,-2.320869495060258123e-02,3.569503465706721362e-03
8.050000000000000488e-01,9.967944590535527949e-01,-2.295846057327636039e-02,3.531716008028693010e-03
8.099999999999999423e-01,9.968059173230265912e-01,-2.271139651886004696e-02,3.494384346778726513e-03
8.149999999999999467e-01,9.968171104596046384e-01,-2.246744711496800537e-02,3.457501139835444850e-03
8.200000000000000622e-01,9.968280454250245670e-01,-2.222655808755413798e-02,3.421059270429798078e-03
8.250000000000000666e-01,9.968387289603729551e-01,-2.198867659129602470e-02,3.385051801257782812e-03
8.300000000000000711e-01,9.968491675956875353e-01,-2.175375119031546650e-02,3.349471984069154855e-03
8.349999999999999645e-01,9.968593676692327765e-01,-2.152173182313752570e-02,3.314313260871992566e-03
8.399999999999999689e-01,9.968693353389640466e-01,-2.129256975376993613e-02,3.279569282507407632e-03
8.449999999999999734e-01,9.968790765886994532e-01,-2.106621751508508389e-02,3.245233872677057933e-03
8.500000000000000888e-01,9.968885972338995538e-01,-2.084262885644553448e-02,3.211300941483849047e-03
8.550000000000000933e-01,9.968979029221565202e-01,-2.062175867760012576e-02,3.177764436270492845e-03
8.599999999999999867e-01,9.969069991303876055e-01,-2.040356296523275492e-02,3.144618375611874135e-03
8.649999999999999911e-01,9.969158911661386568e-01,-2.018799873798016176e-02,3.111856909705640328e-03
8.699999999999999956e-01,9.969245841717654377e-01,-1.997502401526097052e-02,3.079474344415899026e-03
8.750000000000000000e-01,9.969330831324566544e-01,-1.976459780056985527e-02,3.047465142855736425e-03
8.800000000000001155e-01,9.969413928852175477e-01,-1.955668005698232848e-02,3.015823899752860700e-03
8.850000000000000089e-01,9.969495181235166203e-01,-1.935123167699677113e-02,2.984545309060647206e-03
8.900000000000000133e-01,9.969574634017372983e-01,-1.914821445166718997e-02,2.953624154349391955e-03
8.950000000000000178e-01,9.969652331407271584e-01,-1.894759104053824958e-02,2.923055323588602886e-03
9.000000000000000222e-01,9.969728316328320128e-01,-1.874932493832544636e-02,2.892833820978740322e-03
9.050000000000000266e-01,9.969802630468406202e-01,-1.855338044702800268e-02,2.862954759687189044e-03
9.100000000000000311e-01,9.969875314320947313e-01,-1.835972265313597432e-02,2.833413351012175826e-03
9.150000000000000355e-01,9.969946407223146956e-01,-1.816831740328345157e-02,2.804204895197827570e-03
9.200000000000000400e-01,9.970015947403182421e-01,-1.797913128219183476e-02,2.775324777500834568e-03
9.250000000000000444e-01,9.970083972023975338e-01,-1.779213159299439587e-02,2.746768469752812296e-03
9.300000000000000488e-01,9.970150517221338937e-01,-1.760728633638712279e-02,2.718531533839448934e-03
9.349999999999999423e-01,9.970215618145148451e-01,-1.742456418685102773e-02,2.690609621026374479e-03
9.400000000000000577e-01,9.970279308997095358e-01,-1.724393447046905503e-02,2.662998464870538085e-03
9.449999999999999512e-01,9.970341623062209946e-01,-1.706536714546770875e-02,2.635693875437496950e-03
9.500000000000000666e-01,9.970402592736472558e-01,-1.688883278372880353e-02,2.608691737139691522e-03
9.550000000000000711e-01,9.970462249549387757e-01,-1.671430255311278854e-02,2.581988008902801144e-03
9.599999999999999645e-01,9.970520624187806380e-01,-1.654174820038105745e-02,2.555578724798597198e-03
9.650000000000000799e-01,9.970577746523524576e-01,-1.637114203508322277e-02,2.529459994257717351e-03
9.699999999999999734e-01,9.970633645640610832e-01,-1.620245691435390559e-02,2.503628000517779326e-03
9.750000000000000888e-01,9.970688349860477029e-01,-1.603566622873717901e-02,2.478078996737519656e-03
9.800000000000000933e-01,9.970741886764912243e-01,-1.587074388849316411e-02,2.452809302729888705e-03
9.849999999999999867e-01,9.970794283217483400e-01,-1.570766430982919667e-02,2.427815303053143612e-03
9.900000000000001021e-01,9.970845565384663933e-01,-1.554640240096863066e-02,2.403093445675103402e-03
9.949999999999999956e-01,9.970895758756603833e-01,-1.538693354829764187e-02,2.378640240492784982e-03
